iter	Passed	Remaining
867	68753	89665
868	68826	89577
869	68894	89483
870	68960	89387
871	69027	89292
872	69097	89201
873	69170	89113
874	69248	89034
875	69329	88956
876	69396	88862
877	69467	88772
878	69533	88677
879	69601	88583
880	69675	88497
881	69751	88415
882	69827	88332
883	69901	88246
884	69970	88154
885	70037	88060
886	70105	87967
887	70176	87878
888	70246	87788
889	70322	87705
890	70393	87616
891	70462	87525
892	70533	87436
893	70606	87349
894	70671	87254
895	70741	87163
896	70808	87070
897	70878	86979
898	70952	86895
899	71020	86803
900	71087	86709
901	71155	86617
902	71232	86535
903	71309	86454
904	71378	86364
905	71456	86284
906	71527	86195
907	71594	86103
908	71668	86018
909	71738	85929
910	71806	85837
911	71881	85753
912	71954	85667
913	72026	85580
914	72101	85497
915	72165	85401
916	72237	85313
917	72311	85229
918	72382	85141
919	72453	85054
920	72530	84973
921	72600	84883
922	72666	84790
923	72735	84700
924	72797	84602
925	72865	84511
926	72933	84420
927	73001	84328
928	73069	84238
929	73139	84150
930	73221	84074
931	73293	83988
932	73362	83899
933	73432	83810
934	73499	83718
935	73570	83631
936	73642	83545
937	73713	83457
938	73779	83365
939	73848	83275
940	73920	83190
941	73992	83104
942	74059	83012
943	74132	82927
944	74204	82842
945	74274	82754
946	74348	82670
947	74418	82582
948	74486	82492
949	74559	82407
950	74634	82325
951	74708	82242
952	74779	82155
953	74851	82069
954	74917	81978
955	74987	81890
956	75054	81799
957	75122	81709
958	75196	81626
959	75267	81540
960	75341	81456
961	75410	81368
962	75478	81278
963	75548	81191
964	75615	81100
965	75686	81014
966	75766	80938
967	75837	80851
968	75912	80770
969	75989	80689
970	76063	80606
971	76139	80526
972	76211	80441
973	76289	80362
974	76361	80277
975	76437	80196
976	76515	80118
977	76583	80028
978	76650	79938
979	76721	79853
980	76787	79762
981	76865	79683
982	76939	79600
983	77010	79515
984	77079	79427
985	77150	79341
986	77220	79254
987	77298	79175
988	77371	79093
989	77441	79005
990	77530	78938
991	77602	78854
992	77670	78765
993	77741	78680
994	77814	78596
995	77885	78511
996	77966	78435
997	78034	78346
998	78105	78261
999	78175	78175
1000	78267	78111
1001	78327	78014
1002	78397	77928
1003	78467	77842
1004	78530	77749
1005	78598	77660
1006	78666	77572
1007	78734	77485
1008	78805	77399
1009	78873	77311
1010	78949	77231
1011	79023	77149
1012	79092	77062
1013	79163	76977
1014	79232	76890
1015	79311	76813
1016	79383	76729
1017	79451	76641
1018	79523	76558
1019	79592	76470
1020	79658	76382
1021	79728	76296
1022	79797	76209
1023	79870	76126
1024	79941	76042
1025	80009	75953
1026	80083	75872
1027	80155	75789
1028	80224	75702
1029	80299	75622
1030	80370	75537
1031	80441	75453
